pid,tid,picid,picgender,stroopWord,congruency,response,correctAns,sbjResp,sbjRT,sbjACC
74.0,87.0,11.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,88.0,89.0,female,Male,incongruent,go,g,g,616.2997365463525,1.0
74.0,89.0,46.0,male,Male,congruent,nogo,None,None,,1.0
74.0,90.0,49.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,91.0,96.0,female,Female,congruent,go,g,g,568.8749281689525,1.0
74.0,92.0,36.0,male,Male,congruent,nogo,None,None,,1.0
74.0,93.0,77.0,female,Male,incongruent,go,g,g,485.4820782784373,1.0
74.0,94.0,86.0,female,Male,incongruent,go,g,g,551.6601958079264,1.0
74.0,95.0,7.0,male,Male,congruent,nogo,None,None,,1.0
74.0,96.0,60.0,female,Female,congruent,go,g,g,499.3072330253199,1.0
74.0,97.0,1.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,98.0,94.0,female,Female,congruent,go,g,g,535.7522121630609,1.0
74.0,99.0,84.0,female,Male,incongruent,go,g,g,549.7503322549164,1.0
74.0,100.0,23.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,101.0,15.0,male,Male,congruent,nogo,None,None,,1.0
74.0,102.0,52.0,female,Male,incongruent,go,g,g,635.5459819315001,1.0
74.0,103.0,67.0,female,Male,incongruent,go,g,g,651.9740690710023,1.0
74.0,104.0,2.0,male,Male,congruent,nogo,None,None,,1.0
74.0,105.0,34.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,106.0,13.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,107.0,44.0,male,Male,congruent,nogo,None,None,,1.0
74.0,108.0,3.0,male,Male,congruent,nogo,None,None,,1.0
74.0,109.0,65.0,female,Female,congruent,go,g,g,582.7544175554067,1.0
74.0,110.0,50.0,female,Male,incongruent,go,g,g,599.8360300436616,1.0
74.0,111.0,18.0,male,Male,congruent,nogo,None,None,,1.0
74.0,112.0,31.0,male,Male,congruent,nogo,None,None,,1.0
74.0,113.0,91.0,female,Male,incongruent,go,g,g,618.7013289891183,1.0
74.0,114.0,47.0,male,Male,congruent,nogo,None,None,,1.0
74.0,115.0,8.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,116.0,48.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,117.0,39.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,118.0,17.0,male,Male,congruent,nogo,None,None,,1.0
74.0,119.0,62.0,female,Female,congruent,go,g,g,615.9625598229468,1.0
74.0,120.0,25.0,male,Male,congruent,nogo,None,None,,1.0
74.0,121.0,12.0,male,Male,congruent,nogo,None,None,,1.0
74.0,122.0,81.0,female,Female,congruent,go,g,g,632.5639141723514,1.0
74.0,123.0,76.0,female,Male,incongruent,go,g,g,516.4881570963189,1.0
74.0,124.0,98.0,female,Female,congruent,go,g,g,616.1153005668893,1.0
74.0,125.0,14.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,126.0,72.0,female,Female,congruent,go,g,g,602.2134736413136,1.0
74.0,127.0,63.0,female,Male,incongruent,go,g,g,565.4732760740444,1.0
74.0,128.0,20.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,129.0,56.0,female,Male,incongruent,go,g,g,549.8746981611475,1.0
74.0,130.0,64.0,female,Female,congruent,go,g,g,599.5821662945673,1.0
74.0,131.0,40.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,132.0,22.0,male,Male,congruent,nogo,None,None,,1.0
74.0,133.0,32.0,male,Male,congruent,nogo,None,None,,1.0
74.0,134.0,4.0,male,Male,congruent,nogo,None,None,,1.0
74.0,135.0,78.0,female,Male,incongruent,go,g,g,535.6882180785759,1.0
74.0,136.0,21.0,male,Male,congruent,nogo,None,None,,1.0
74.0,137.0,19.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,138.0,5.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,139.0,16.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,140.0,88.0,female,Male,incongruent,go,g,g,499.5532482862473,1.0
74.0,141.0,27.0,male,Male,congruent,nogo,None,None,,1.0
74.0,142.0,71.0,female,Female,congruent,go,g,g,482.7556853415445,1.0
74.0,143.0,54.0,female,Female,congruent,go,g,g,502.18666857108474,1.0
74.0,144.0,69.0,female,Female,congruent,go,g,g,469.0434260992333,1.0
74.0,145.0,83.0,female,Male,incongruent,go,g,g,449.1394294891505,1.0
74.0,146.0,73.0,female,Female,congruent,go,g,g,482.6932004652917,1.0
74.0,147.0,24.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,148.0,26.0,male,Male,congruent,nogo,None,None,,1.0
74.0,149.0,55.0,female,Female,congruent,go,g,g,616.1403548903763,1.0
74.0,150.0,53.0,female,Female,congruent,go,g,g,535.4868778958917,1.0
74.0,151.0,70.0,female,Female,congruent,go,g,g,568.7692775391042,1.0
74.0,152.0,99.0,female,Female,congruent,go,g,g,468.8224651617929,1.0
74.0,153.0,68.0,female,Female,congruent,go,g,g,602.4253788636997,1.0
74.0,154.0,37.0,male,Female,incongruent,nogo,None,None,,1.0
74.0,155.0,74.0,female,Male,incongruent,go,g,g,566.576873534359,1.0
74.0,156.0,51.0,female,Male,incongruent,go,g,g,535.6181866955012,1.0
