pid,tid,picid,picgender,correctAns,memCond,congruency,response,sbjResp,sbjRT,sbjACC
2.0,49.0,29.0,male,y,old,congruent,nogo,b,1353.0571617011447,1.0
2.0,50.0,38.0,male,y,old,congruent,nogo,m,903.0661420256365,0.0
2.0,51.0,36.0,male,n,new,,,n,1970.360677310964,1.0
2.0,52.0,32.0,male,y,old,congruent,nogo,n,1219.6550043299794,0.0
2.0,53.0,86.0,female,y,old,incongruent,go,b,819.6836810093373,1.0
2.0,54.0,25.0,male,y,old,congruent,nogo,m,819.5771244354546,0.0
2.0,55.0,3.0,male,y,old,congruent,nogo,m,802.7426991320681,0.0
2.0,56.0,0.0,male,y,old,incongruent,nogo,m,886.180098663317,0.0
2.0,57.0,87.0,female,y,old,congruent,go,m,769.5619559963234,0.0
2.0,58.0,65.0,female,n,new,,,m,1036.5181063243654,1.0
2.0,59.0,16.0,male,y,old,incongruent,nogo,n,1920.429727761075,0.0
2.0,60.0,62.0,female,y,old,congruent,go,n,902.890459576156,0.0
2.0,61.0,72.0,female,y,old,congruent,go,m,886.3062761083711,0.0
2.0,62.0,69.0,female,y,old,incongruent,go,,,0.0
2.0,63.0,94.0,female,y,old,congruent,go,b,586.0987474443391,1.0
2.0,64.0,43.0,male,n,new,,,n,2403.9133118640166,1.0
2.0,65.0,1.0,male,n,new,,,m,769.5157714188099,1.0
2.0,66.0,79.0,female,y,old,incongruent,go,v,936.342574772425,1.0
2.0,67.0,58.0,female,y,old,incongruent,go,b,919.8420065222308,1.0
2.0,68.0,30.0,male,y,old,congruent,nogo,m,986.2723168917,0.0
2.0,69.0,13.0,male,y,old,incongruent,nogo,m,902.844576863572,0.0
2.0,70.0,64.0,female,y,old,congruent,go,m,886.0110571258701,0.0
2.0,71.0,8.0,male,y,old,congruent,nogo,m,886.2673361727502,0.0
2.0,72.0,55.0,female,y,old,incongruent,go,m,936.359780782368,0.0
2.0,73.0,41.0,male,y,old,congruent,nogo,m,1203.1985076027922,0.0
2.0,74.0,61.0,female,y,old,congruent,go,m,319.13354131393135,0.0
2.0,75.0,9.0,male,y,old,incongruent,nogo,m,602.6201440254226,0.0
2.0,76.0,45.0,male,y,old,incongruent,nogo,m,302.4171432189178,0.0
2.0,77.0,21.0,male,y,old,congruent,nogo,m,285.8592215925455,0.0
2.0,78.0,14.0,male,n,new,,,b,1519.9811639613472,0.0
2.0,79.0,48.0,male,y,old,congruent,nogo,m,819.6737196412869,0.0
2.0,80.0,80.0,female,y,old,congruent,go,m,1069.8078208661173,0.0
2.0,81.0,53.0,female,y,old,congruent,go,v,852.9773197660688,1.0
2.0,82.0,68.0,female,n,new,,,n,1320.0318764138501,1.0
2.0,83.0,82.0,female,n,new,,,n,1987.142578989733,1.0
2.0,84.0,88.0,female,n,new,,,n,502.6731204416137,1.0
2.0,85.0,81.0,female,n,new,,,n,285.67418147576973,1.0
2.0,86.0,83.0,female,y,old,incongruent,go,b,452.55682891001925,1.0
2.0,87.0,27.0,male,n,new,,,m,1103.1896027270705,1.0
2.0,88.0,78.0,female,n,new,,,m,1453.4038478159346,1.0
2.0,89.0,6.0,male,n,new,,,v,769.1511246666778,0.0
2.0,90.0,5.0,male,y,old,congruent,nogo,m,902.9028358054347,0.0
2.0,91.0,15.0,male,y,old,congruent,nogo,m,752.8413318796083,0.0
2.0,92.0,33.0,male,y,old,incongruent,nogo,m,402.4052197637502,0.0
2.0,93.0,47.0,male,y,old,incongruent,nogo,n,1419.9767869722564,0.0
2.0,94.0,57.0,female,n,new,,,n,369.03853091644123,1.0
2.0,95.0,77.0,female,y,old,congruent,go,n,736.1548179178499,0.0
